"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,7673,22,34,33,36,73,157,241,311,365,445,545,626,683,852,915,890,749,453,195,38,6,0
1926,8153,24,30,52,36,87,169,271,341,382,441,588,656,728,875,978,972,817,459,197,43,5,0
1927,9160,31,39,46,45,121,183,255,393,402,488,586,754,806,986,1115,1092,983,533,235,54,11,1
1928,9402,35,47,47,33,99,210,292,368,394,455,589,760,879,975,1168,1222,1007,528,232,54,8,1
1929,9800,27,39,71,38,92,196,279,324,398,476,624,725,883,1030,1233,1255,1126,658,255,60,12,1
1930,9257,45,49,68,45,90,149,202,265,330,406,538,661,858,984,1205,1121,1173,618,333,102,16,1
1931,9022,44,42,66,43,80,145,224,289,332,372,554,641,808,905,1140,1102,1161,609,338,107,18,1
1932,9118,42,54,62,50,60,130,177,267,333,399,507,679,817,915,1194,1155,1172,634,338,113,19,1
1933,8897,27,42,50,40,59,122,178,254,296,376,498,587,838,945,1124,1181,1202,614,331,113,19,1
1934,8412,35,40,52,53,36,112,159,228,278,308,473,587,684,871,1082,1149,1209,598,334,107,17,1
1935,8796,27,41,43,50,43,105,161,239,289,334,493,586,785,867,1115,1184,1279,637,374,124,20,2
1936,8701,19,30,51,50,45,96,147,206,276,361,446,558,687,952,1082,1185,1286,670,400,130,22,2
1937,8371,25,46,2,43,104,77,154,196,300,299,458,637,721,900,1086,1084,1071,628,390,125,23,2
1938,8508,11,34,14,37,131,69,134,219,288,350,519,675,747,860,1029,1046,1089,675,417,141,24,2
1939,7896,31,24,13,33,151,63,159,197,271,283,479,630,696,835,963,1007,946,604,364,123,23,1
1940,11613,38,50,50,52,78,74,128,229,287,336,472,596,824,1150,1529,1661,1928,1155,683,249,41,3
1941,11726,35,45,56,46,63,95,107,194,270,349,459,589,847,1083,1618,1616,1927,1289,738,257,39,4
1942,12059,61,50,57,56,59,84,103,185,232,302,426,533,792,1107,1527,1741,2096,1483,823,294,44,4
1943,10347,35,52,61,61,69,85,90,176,218,271,355,492,658,859,1341,1494,1745,1299,701,248,36,3
1944,10471,40,44,39,58,65,119,81,163,214,259,346,476,647,899,1331,1572,1803,1299,730,244,39,3
1945,9729,34,39,45,56,66,111,101,180,225,262,381,437,597,815,1217,1463,1638,1153,661,211,33,2
1946,9171,31,29,32,30,60,114,93,150,191,252,313,440,589,781,1126,1454,1519,1095,635,201,35,2
1947,9433,45,32,24,35,52,94,96,111,175,221,330,432,541,821,1094,1486,1607,1229,736,229,40,3
1948,8870,32,32,23,30,68,81,92,99,167,251,331,395,540,701,1030,1410,1531,1108,691,215,39,3
1949,9891,25,27,20,26,61,84,97,89,163,232,321,446,599,760,1117,1539,1773,1327,838,289,52,4
1950,9522,28,28,24,47,32,72,92,89,166,220,306,424,508,733,1047,1459,1737,1312,839,299,51,8
1951,9916,25,34,15,20,43,70,80,100,157,193,288,421,516,758,1093,1471,1893,1388,936,349,58,8
1952,9280,37,37,20,26,36,66,93,111,123,196,272,397,486,674,1001,1344,1752,1483,822,263,37,4
1953,8722,18,22,23,22,42,61,92,112,125,223,277,385,481,629,908,1247,1568,1367,808,257,49,5
1954,8302,20,21,17,22,46,64,90,114,88,214,265,326,422,602,852,1217,1497,1342,761,271,47,4
1955,8000,24,22,22,20,24,49,110,104,97,160,238,313,368,551,807,1155,1422,1414,749,296,53,2
1956,8080,21,12,20,20,33,47,63,79,90,131,187,286,373,576,787,1175,1514,1507,784,321,48,6
1957,7432,17,13,19,24,33,40,72,89,104,98,224,255,348,497,695,1071,1296,1368,814,298,52,3
1958,6918,27,20,13,14,31,43,68,81,99,94,188,230,354,476,659,947,1225,1223,810,264,47,4
1959,6523,23,13,17,20,22,53,62,79,109,84,159,258,305,441,622,840,1137,1159,800,263,52,3
1960,6553,21,9,10,22,28,33,61,77,102,91,155,219,287,405,593,920,1129,1224,831,271,60,5
1961,6473,14,16,6,17,34,38,71,68,89,97,124,213,281,433,629,812,1149,1210,859,247,58,5
1962,6828,19,21,8,21,28,38,56,65,95,105,138,214,284,425,592,868,1159,1295,952,360,76,10
1963,6827,15,18,12,23,28,46,56,81,93,134,119,207,280,410,630,831,1192,1250,958,361,78,5
1964,6225,9,25,6,17,31,39,39,67,87,106,89,179,254,336,553,758,1105,1209,879,362,64,10
