"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,280,61,51,13,12,28,27,7,7,7,3,7,8,6,8,8,9,11,6,2,0,0,0
1926,300,70,54,15,11,29,26,8,8,7,3,7,9,6,9,9,9,13,6,2,1,0,0
1927,262,69,42,13,8,23,21,12,13,10,4,11,10,8,12,3,3,0,0,0,0,0,0
1928,340,96,51,23,11,34,33,12,12,8,5,11,7,4,9,9,7,6,3,1,0,0,0
1929,348,98,56,24,11,37,37,8,9,7,4,7,5,3,6,13,10,9,4,1,0,0,0
1930,319,102,35,19,9,25,27,8,10,7,4,9,5,3,6,22,17,8,3,1,0,0,0
1931,325,98,37,19,12,20,27,12,14,9,5,11,4,3,6,14,12,14,5,3,1,0,0
1932,289,115,39,12,9,14,21,5,7,5,2,5,3,2,6,10,11,15,5,2,1,0,0
1933,270,113,37,10,8,9,15,5,7,5,2,6,4,3,7,9,11,13,5,2,1,0,0
1934,246,119,34,8,7,7,12,4,6,4,2,4,5,4,8,7,8,4,1,1,0,0,0
1935,272,133,29,7,6,8,10,4,7,6,2,5,6,4,9,10,11,10,3,1,0,0,0
1936,266,151,22,5,5,7,9,3,4,4,2,3,4,3,7,10,11,10,4,2,0,0,0
1937,286,204,22,3,4,0,7,2,2,2,1,3,0,3,3,5,12,7,3,1,0,0,0
1938,313,222,16,1,2,4,13,7,2,2,5,7,0,1,7,2,8,15,0,0,0,0,0
1939,338,257,20,1,2,4,8,7,2,2,5,6,0,1,9,0,4,7,1,1,0,0,0
1940,373,298,20,1,1,1,2,3,5,4,3,4,4,3,6,0,0,11,5,2,1,0,0
1941,341,267,32,1,1,2,2,2,3,3,1,4,4,3,5,0,0,4,2,1,0,0,0
1942,351,301,24,1,1,2,2,1,3,3,1,3,2,2,2,1,2,0,0,0,0,0,0
1943,284,245,11,0,1,2,1,0,4,2,1,3,2,3,4,3,0,0,1,0,0,0,0
1944,302,251,15,2,2,4,2,1,1,3,1,2,1,4,3,3,3,3,0,0,0,0,0
1945,531,449,25,2,1,3,6,3,3,4,3,3,0,3,9,8,4,4,3,1,0,0,0
1946,620,551,18,1,2,5,3,1,2,2,1,5,4,4,3,7,3,3,4,2,0,0,0
1947,681,611,40,0,1,2,2,2,1,2,1,4,1,3,3,4,2,2,1,1,0,0,0
1948,526,485,22,1,1,1,0,1,1,2,0,2,1,0,2,3,2,2,1,1,0,0,0
1949,514,459,29,1,1,2,2,2,1,1,0,1,1,1,3,3,2,2,3,2,0,0,0
1950,411,354,25,1,1,3,1,1,1,1,1,2,1,1,5,3,4,4,2,1,0,0,0
1951,368,304,26,0,0,3,3,2,2,2,0,2,4,1,6,3,2,3,2,1,0,0,0
1952,323,260,28,2,2,0,2,1,1,2,0,1,1,4,2,2,4,4,4,2,0,1,0
