"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1520,11,12,18,38,38,43,15,15,26,24,45,49,56,91,141,163,231,259,171,62,10,1
1926,1593,13,14,24,36,39,45,16,15,25,24,45,50,55,92,148,171,251,272,181,63,10,1
1927,1723,17,19,33,37,45,50,14,12,21,19,41,46,56,96,152,178,296,298,208,72,11,1
1928,1791,30,27,31,30,39,42,18,15,27,24,44,54,67,107,177,199,283,290,201,72,12,1
1929,1893,41,24,33,24,40,45,22,21,33,32,52,57,67,107,176,205,291,311,220,77,13,1
1930,1719,46,18,31,27,38,38,24,18,28,32,50,63,77,107,160,200,239,289,171,52,8,1
1931,1845,52,3,31,36,26,37,13,18,27,25,49,55,71,110,175,223,292,330,194,66,10,1
1932,1791,50,25,36,40,22,32,17,17,26,31,43,54,72,113,151,199,272,331,183,64,11,1
1933,1723,43,25,28,31,18,35,16,16,25,25,46,50,73,119,149,189,246,326,186,64,10,1
1934,1341,29,30,27,32,19,36,17,16,31,33,35,56,66,103,110,122,179,193,160,40,7,0
1935,1688,29,15,21,28,19,29,13,16,29,31,37,72,82,117,186,230,332,251,113,37,3,1
1936,1680,19,19,26,30,25,24,15,13,24,25,36,59,81,111,159,206,244,302,188,62,10,1
1937,1156,9,22,23,19,24,12,13,11,18,28,21,65,51,66,129,123,185,171,115,44,7,1
1938,1095,11,20,18,23,18,12,12,13,14,20,18,73,49,73,117,106,112,172,164,41,7,0
1939,1136,16,11,22,23,18,6,19,16,20,22,35,87,33,58,114,96,217,165,108,39,8,0
1940,1771,17,11,15,23,19,13,11,14,24,31,55,62,91,140,184,198,257,322,197,72,12,1
1941,1789,21,22,22,28,29,19,13,16,28,40,49,73,91,147,172,192,301,287,169,59,9,1
1942,1945,26,15,18,24,26,24,9,13,22,43,47,77,95,140,208,223,370,313,179,63,10,1
1943,1754,21,25,26,39,32,21,12,23,24,41,39,75,83,136,223,239,327,227,104,32,3,1
1944,1854,29,19,31,48,28,27,12,16,20,36,47,64,76,128,184,259,294,293,174,59,9,1
1945,1714,29,28,41,49,26,27,11,16,21,28,39,56,82,141,178,229,247,257,152,49,8,1
1946,1340,26,15,12,21,12,18,6,14,21,19,28,32,63,102,132,208,209,218,134,42,7,1
1947,1253,16,9,9,11,9,11,6,4,17,16,26,47,70,93,114,195,213,209,128,43,7,1
1948,1135,15,3,13,8,9,7,7,4,11,17,15,38,50,89,123,154,171,211,136,45,8,1
