"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,46.12,310.27,90.82,42.24,24.98,22.01,17.76,13.94,14.41,12.07,15.05,15.32,21.34,27.13,45.04,70.22,114.93,209.55,287.32,403.87,478.06,446.67,249.75
1926,47.30,368.54,97.50,42.72,25.97,22.68,17.57,13.64,15.03,12.46,15.49,16.68,20.58,28.46,45.74,71.46,115.31,206.82,268.92,379.28,403.32,397.88,432.12
1927,47.95,370.96,96.24,46.51,26.85,24.62,20.72,14.15,15.13,12.27,14.66,16.77,21.74,29.30,49.80,75.42,121.79,202.94,263.31,327.51,339.29,399.36,311.54
1928,48.33,415.18,95.77,44.48,27.10,25.67,19.56,14.87,14.89,13.21,15.69,17.17,20.47,29.99,46.58,75.08,118.70,203.38,250.60,335.85,351.32,353.91,137.05
1929,49.53,458.71,96.57,44.29,28.11,23.94,20.55,15.95,14.34,13.06,15.90,16.13,21.29,28.46,48.62,76.72,121.87,204.44,260.39,346.16,374.46,327.44,679.36
1930,46.36,434.37,76.27,27.79,18.80,18.64,16.82,12.77,14.18,14.18,16.63,19.77,25.74,32.64,49.79,82.51,116.82,212.87,220.63,345.56,444.84,485.91,527.22
1931,44.49,374.80,70.93,31.12,16.90,18.38,14.72,12.51,14.59,13.35,15.80,20.66,24.36,31.31,48.45,81.15,110.59,202.96,221.77,361.02,479.17,515.05,768.93
1932,44.95,401.90,75.34,28.81,17.92,17.34,13.75,12.19,12.73,15.02,18.11,18.13,23.19,32.05,50.06,79.40,114.35,205.79,213.64,348.07,477.04,540.09,721.26
1933,42.43,381.70,63.18,25.76,16.82,16.64,12.32,9.86,12.10,11.21,16.46,19.55,22.47,28.97,47.90,76.89,109.89,202.15,222.98,345.46,510.44,592.42,646.76
1934,40.66,345.27,61.24,25.28,16.51,15.27,12.20,9.97,13.35,12.34,14.38,17.74,20.12,28.81,47.20,73.86,106.88,199.24,211.77,334.40,452.46,577.97,375.29
1935,40.54,318.29,52.63,21.29,14.97,16.56,11.85,11.30,13.24,12.92,15.57,19.30,23.52,29.37,48.99,73.22,108.72,204.10,223.67,352.49,510.48,582.26,492.19
1936,38.99,326.61,53.41,20.43,14.86,13.67,12.06,9.56,11.88,12.79,16.42,16.84,21.60,27.64,44.55,69.14,105.18,193.73,213.48,341.75,491.06,599.00,587.12
1937,38.16,310.91,43.57,19.62,13.68,11.42,10.82,12.13,11.79,10.56,12.30,15.35,19.18,26.37,43.98,73.24,102.94,210.30,233.12,381.80,530.71,711.89,681.81
1938,40.63,329.05,47.18,20.53,16.73,10.37,11.24,13.28,12.12,10.06,12.89,17.28,20.07,26.05,44.95,77.56,106.56,224.74,258.23,440.37,593.89,780.74,698.52
