"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,82.62,2.74,2.27,1.45,1.99,2.80,3.84,4.25,7.78,15.99,30.19,60.81,116.45,185.39,268.64,370.94,401.14,399.60,318.88,315.22,201.92,3.83,2839.63
1926,91.46,2.85,2.92,2.33,2.35,3.13,3.68,4.44,8.16,14.44,33.55,68.39,125.45,201.26,310.81,396.53,462.59,445.15,355.04,307.81,306.46,259.21,9.52
1927,102.57,1.26,3.01,1.58,2.20,2.97,4.20,5.19,8.42,16.45,36.31,66.25,135.05,223.34,340.60,453.44,559.63,529.17,404.08,357.38,222.01,133.71,0
1928,104.67,1.78,3.64,2.03,2.46,2.69,3.92,6.25,9.12,17.54,37.47,68.62,138.22,220.37,341.75,456.14,564.39,552.93,424.59,409.29,225.40,374.30,23.22
1929,106.08,2.33,3.07,2.22,2.38,3.36,4.57,5.12,10.04,17.41,35.16,69.99,143.25,221.25,349.73,465.78,552.40,570.47,434.22,353.99,502.69,121.48,0
1930,107.06,0.72,3.44,2.41,2.25,3.42,4.78,6.24,9.17,17.63,35.89,71.52,143.37,221.35,341.29,454.49,454.33,694.74,370.24,563.05,756.07,831.53,1650.66
1931,108.58,4.50,3.83,2.41,2.79,3.31,3.97,6.21,8.26,15.07,33.88,68.63,133.89,229.60,344.38,478.72,468.39,741.32,346.44,547.14,790.98,848.94,1874.63
1932,109.10,4.91,4.55,3.04,2.30,3.61,5.74,6.18,8.96,17.94,33.07,76.62,131.10,228.73,344.40,467.64,466.44,740.38,370.33,568.50,767.71,856.28,1179.56
1933,110.78,3.16,6.73,2.76,2.61,3.87,5.09,6.16,9.73,18.11,36.47,73.46,135.87,227.21,338.71,482.71,474.88,737.54,393.29,599.29,852.60,1047.88,927.48
1934,110.02,4.34,5.69,3.01,2.08,3.15,3.69,7.34,9.46,19.55,35.32,74.00,137.24,231.34,346.65,465.99,465.43,734.65,381.14,573.11,802.10,1135.49,787.35
1935,110.16,3.90,6.81,3.18,2.48,3.71,4.70,6.86,11.25,19.03,39.95,72.92,137.19,228.88,335.62,462.69,459.56,708.08,416.84,616.70,918.60,1167.10,3961.16
1936,112.04,6.94,6.90,3.01,2.44,3.00,4.55,7.02,11.56,21.45,40.10,76.75,141.89,229.82,350.44,466.13,473.22,729.94,398.44,582.47,895.95,999.63,2214.39
1937,117.96,7.00,5.25,3.55,2.72,6.72,7.61,9.29,14.02,21.11,39.71,83.99,136.84,243.67,346.04,490.65,503.13,799.86,427.12,618.41,1046.24,1086.21,2675.59
1938,120.25,7.61,5.68,4.10,2.58,9.36,9.06,10.72,14.79,22.79,44.01,85.24,142.76,243.91,355.52,485.34,515.21,811.29,432.66,650.01,957.06,1320.74,1901.17
1939,115.00,6.90,6.30,5.37,2.91,9.71,6.55,10.53,13.48,22.24,43.59,77.76,135.59,226.93,339.44,430.86,506.27,747.05,473.62,724.91,1099.47,1437.53,3178.75
1940,155.05,8.11,5.83,4.11,4.08,4.98,4.53,6.67,11.17,23.92,46.88,91.11,178.32,290.84,452.58,609.09,685.20,1090.43,737.35,1092.01,1750.06,2517.31,5729.03
