"Year","Total","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
1925,1.06,52.87,2.18,0.31,0.17,0.13,0.07,0.12,0.18,0.07,0.05,0.09,0.11,0.06,0.12,0.34,0.12,0.12,0.10,0.10,0.11,0.12,0
1926,1.15,59.44,2.37,0.29,0.19,0.15,0.08,0.13,0.19,0.07,0.05,0.09,0.13,0.06,0.13,0.35,0.14,0.13,0.12,0.12,0.14,0.07,0.10
1927,1.18,59.36,2.64,0.40,0.24,0.21,0.15,0.08,0.10,0.04,0.03,0.07,0.11,0.05,0.11,0.35,0.10,0.17,0.13,0.13,0.12,0.15,0.15
1928,1.42,69.46,3.72,0.27,0.23,0.17,0.10,0.13,0.16,0.05,0.05,0.10,0.12,0.06,0.13,0.31,0.05,0.24,0.12,0.14,0.13,0.11,0.39
1929,1.87,102.57,2.49,0.19,0.10,0.11,0.07,0.14,0.19,0.08,0.06,0.10,0.15,0.09,0.16,0.34,0.07,0.27,0.14,0.15,0.14,0.12,0
1930,1.65,84.21,3.82,0.17,0.13,0.08,0.06,0.11,0.15,0.06,0.05,0.10,0.18,0.11,0.20,0.37,0.09,0.28,0.16,0.24,0.32,0.34,0.74
1931,1.08,60.31,0.76,0.28,0.20,0.16,0.10,0.13,0.16,0.08,0.05,0.09,0.16,0.08,0.17,0.37,0.06,0.15,0.12,0.18,0.27,0.29,0.67
1932,1.25,68.77,0.79,0.41,0.25,0.20,0.12,0.12,0.12,0.06,0.05,0.08,0.12,0.07,0.14,0.36,0.04,0.21,0.14,0.24,0.32,0.36,0.53
1933,1.04,54.93,1.06,0.39,0.24,0.16,0.11,0.11,0.12,0.07,0.05,0.09,0.13,0.07,0.14,0.38,0.04,0.18,0.15,0.24,0.33,0.46,0.40
1934,1.05,55.32,0.87,0.40,0.26,0.18,0.13,0.12,0.13,0.06,0.04,0.08,0.14,0.08,0.15,0.35,0.04,0.20,0.15,0.23,0.33,0.52,0.37
1935,0.87,44.36,0.91,0.42,0.32,0.24,0.17,0.08,0.12,0.06,0.04,0.08,0.16,0.09,0.17,0.38,0.06,0.29,0.16,0.24,0.39,0.49,1.62
1936,0.90,45.35,1.11,0.39,0.32,0.25,0.21,0.09,0.11,0.06,0.04,0.08,0.13,0.08,0.16,0.36,0.07,0.31,0.19,0.27,0.42,0.47,1.08
1937,1.32,71.51,1.48,0.29,0.14,0.21,0.23,0.10,0.19,0.06,0.02,0.07,0.15,0.07,0.13,0.35,0.06,0.46,0.22,0.33,0.56,0.58,1.49
1938,2.28,128.11,1.27,0.33,0.07,0.48,0.31,0.18,0.20,0.11,0.05,0.08,0.18,0.08,0.12,0.38,0.05,0.39,0.24,0.38,0.55,0.79,1.13
1939,2.79,158.10,0.51,0.30,0.08,0.89,0.40,0.44,0.06,0.12,0.08,0.08,0.19,0.08,0.16,0.34,0.05,0.37,0.29,0.44,0.66,0.90,2.00
1940,3.96,227.92,0.82,0.57,0.43,0.40,0.19,0.22,0.33,0.14,0.13,0.15,0.20,0.14,0.26,0.75,0.29,0.53,0.58,0.87,1.43,2.05,4.66
