---
title: Causes of Death in France from 1925 to 1999
source: The data is made available by INED <www.ined.fr> at
  <https://www.ined.fr/en/everything_about_population/data/online-databases/death_causes_since_1925/>
  The original data authors are Jacques Vallin <vallin@ined.fr> and France
  Meslé <mesle@ined.fr>.
variables:
    year : period calendar year
    sex  : -
    age  : age groups in years [a, b]
    cod  : cause of death category (ICD-9 code)
    dx   : number of deaths
note: The data was downloaded in June 2014 in the form of `html` tables made
  availabe by the INED web interface. It was then converted into `.csv` format
  and aggregated into the current form.
author: Jonas Schöley <jonas.schoeley@kolabnow.com>
date: 2015-08-19
...

year,sex,age,cod,dx
1925,female,total,000*-999*,343827
1926,female,total,000*-999*,347581
1927,female,total,000*-999*,332599
1928,female,total,000*-999*,330736
1929,female,total,000*-999*,362240
1930,female,total,000*-999*,311877
1931,female,total,000*-999*,331021
1932,female,total,000*-999*,320209
1933,female,total,000*-999*,320013
1934,female,total,000*-999*,302770
1935,female,total,000*-999*,315984
1936,female,total,000*-999*,307801
1937,female,total,000*-999*,300867
1938,female,total,000*-999*,310431
1939,female,total,000*-999*,298425
1940,female,total,000*-999*,358666
1941,female,total,000*-999*,309520
1942,female,total,000*-999*,305037
1943,female,total,000*-999*,297828
1944,female,total,000*-999*,338574
1945,female,total,000*-999*,305143
1946,female,total,000*-999*,270984
1947,female,total,000*-999*,265240
1948,female,total,000*-999*,248430
1949,female,total,000*-999*,285190
1950,female,total,000*-999*,262269
1951,female,total,000*-999*,279472
1952,female,total,000*-999*,257943
1953,female,total,000*-999*,275284
1954,female,total,000*-999*,253523
1955,female,total,000*-999*,257471
1956,female,total,000*-999*,266836
1957,female,total,000*-999*,258281
1958,female,total,000*-999*,246521
1959,female,total,000*-999*,250074
1960,female,total,000*-999*,255149
1961,female,total,000*-999*,242767
1962,female,total,000*-999*,264581
1963,female,total,000*-999*,272200
1964,female,total,000*-999*,251518
1965,female,total,000*-999*,263031
1966,female,total,000*-999*,255582
1967,female,total,000*-999*,262183
1968,female,total,000*-999*,267746
1969,female,total,000*-999*,275736
1970,female,total,000*-999*,263074
1971,female,total,000*-999*,268611
1972,female,total,000*-999*,264600
1973,female,total,000*-999*,270801
1974,female,total,000*-999*,265947
1975,female,total,000*-999*,269245
1976,female,total,000*-999*,266928
1977,female,total,000*-999*,255205
1978,female,total,000*-999*,260698
1979,female,total,000*-999*,258071
1980,female,total,000*-999*,261627
1981,female,total,000*-999*,267209
1982,female,total,000*-999*,260444
1983,female,total,000*-999*,270758
1984,female,total,000*-999*,260022
1985,female,total,000*-999*,265604
1986,female,total,000*-999*,263147
1987,female,total,000*-999*,252106
1988,female,total,000*-999*,252144
1989,female,total,000*-999*,255020
1990,female,total,000*-999*,253537
1991,female,total,000*-999*,252125
1992,female,total,000*-999*,250024
1993,female,total,000*-999*,256586
1994,female,total,000*-999*,249216
1995,female,total,000*-999*,256512
1996,female,total,000*-999*,258984
1997,female,total,000*-999*,257507
1998,female,total,000*-999*,259802
1999,female,total,000*-999*,262695
1925,female,<1,000*-999*,31298
1926,female,<1,000*-999*,34090
1927,female,<1,000*-999*,28812
1928,female,<1,000*-999*,31495
1929,female,<1,000*-999*,32046
1930,female,<1,000*-999*,27287
1931,female,<1,000*-999*,25442
1932,female,<1,000*-999*,25348
1933,female,<1,000*-999*,23473
1934,female,<1,000*-999*,21513
1935,female,<1,000*-999*,20193
1936,female,<1,000*-999*,19512
1937,female,<1,000*-999*,18729
1938,female,<1,000*-999*,18571
1939,female,<1,000*-999*,17102
1940,female,<1,000*-999*,21955
1941,female,<1,000*-999*,16552
1942,female,<1,000*-999*,17641
1943,female,<1,000*-999*,19922
1944,female,<1,000*-999*,20883
1945,female,<1,000*-999*,30686
1946,female,<1,000*-999*,25854
1947,female,<1,000*-999*,26261
1948,female,<1,000*-999*,20425
1949,female,<1,000*-999*,22414
1950,female,<1,000*-999*,18940
1951,female,<1,000*-999*,17864
1952,female,<1,000*-999*,15930
1953,female,<1,000*-999*,14115
1954,female,<1,000*-999*,13957
1955,female,<1,000*-999*,13179
1956,female,<1,000*-999*,12305
1957,female,<1,000*-999*,11721
1958,female,<1,000*-999*,10892
1959,female,<1,000*-999*,10354
1960,female,<1,000*-999*,9475
1961,female,<1,000*-999*,9114
1962,female,<1,000*-999*,8902
1963,female,<1,000*-999*,9315
1964,female,<1,000*-999*,8590
1965,female,<1,000*-999*,8097
1966,female,<1,000*-999*,7838
1967,female,<1,000*-999*,7344
1968,female,<1,000*-999*,7297
1969,female,<1,000*-999*,6989
1970,female,<1,000*-999*,6533
1971,female,<1,000*-999*,6370
1972,female,<1,000*-999*,5972
1973,female,<1,000*-999*,5637
1974,female,<1,000*-999*,4925
1975,female,<1,000*-999*,4371
1976,female,<1,000*-999*,3771
1977,female,<1,000*-999*,3509
1978,female,<1,000*-999*,3314
1979,female,<1,000*-999*,3211
1980,female,<1,000*-999*,3282
1981,female,<1,000*-999*,3200
1982,female,<1,000*-999*,3152
1983,female,<1,000*-999*,2877
1984,female,<1,000*-999*,2702
1985,female,<1,000*-999*,2648
1986,female,<1,000*-999*,2650
1987,female,<1,000*-999*,2445
1988,female,<1,000*-999*,2512
1989,female,<1,000*-999*,2391
1990,female,<1,000*-999*,2315
1991,female,<1,000*-999*,2269
1992,female,<1,000*-999*,2063
1993,female,<1,000*-999*,1872
1994,female,<1,000*-999*,1748
1995,female,<1,000*-999*,1543
1996,female,<1,000*-999*,1479
1997,female,<1,000*-999*,1458
1998,female,<1,000*-999*,1475
1999,female,<1,000*-999*,1375
1925,female,1-4,000*-999*,12276
1926,female,1-4,000*-999*,12596
1927,female,1-4,000*-999*,11172
1928,female,1-4,000*-999*,11325
1929,female,1-4,000*-999*,11234
1930,female,1-4,000*-999*,9104
1931,female,1-4,000*-999*,9131
1932,female,1-4,000*-999*,9002
1933,female,1-4,000*-999*,7925
1934,female,1-4,000*-999*,7792
1935,female,1-4,000*-999*,6738
1936,female,1-4,000*-999*,6755
1937,female,1-4,000*-999*,6126
1938,female,1-4,000*-999*,5757
1939,female,1-4,000*-999*,4782
1940,female,1-4,000*-999*,6627
1941,female,1-4,000*-999*,5114
1942,female,1-4,000*-999*,4638
1943,female,1-4,000*-999*,4755
1944,female,1-4,000*-999*,5409
1945,female,1-4,000*-999*,6288
1946,female,1-4,000*-999*,4482
1947,female,1-4,000*-999*,3689
1948,female,1-4,000*-999*,3276
1949,female,1-4,000*-999*,3969
1950,female,1-4,000*-999*,3334
1951,female,1-4,000*-999*,3560
1952,female,1-4,000*-999*,3493
1953,female,1-4,000*-999*,2790
1954,female,1-4,000*-999*,2651
1955,female,1-4,000*-999*,2622
1956,female,1-4,000*-999*,2135
1957,female,1-4,000*-999*,2277
1958,female,1-4,000*-999*,2045
1959,female,1-4,000*-999*,2000
1960,female,1-4,000*-999*,1666
1961,female,1-4,000*-999*,1659
1962,female,1-4,000*-999*,1720
1963,female,1-4,000*-999*,1561
1964,female,1-4,000*-999*,1515
1965,female,1-4,000*-999*,1332
1966,female,1-4,000*-999*,1309
1967,female,1-4,000*-999*,1273
1968,female,1-4,000*-999*,1295
1969,female,1-4,000*-999*,1240
1970,female,1-4,000*-999*,1125
1971,female,1-4,000*-999*,1191
1972,female,1-4,000*-999*,1050
1973,female,1-4,000*-999*,1107
1974,female,1-4,000*-999*,1058
1975,female,1-4,000*-999*,977
1976,female,1-4,000*-999*,892
1977,female,1-4,000*-999*,858
1978,female,1-4,000*-999*,749
1979,female,1-4,000*-999*,656
1980,female,1-4,000*-999*,737
1981,female,1-4,000*-999*,735
1982,female,1-4,000*-999*,668
1983,female,1-4,000*-999*,741
1984,female,1-4,000*-999*,610
1985,female,1-4,000*-999*,614
1986,female,1-4,000*-999*,587
1987,female,1-4,000*-999*,534
1988,female,1-4,000*-999*,542
1989,female,1-4,000*-999*,535
1990,female,1-4,000*-999*,463
1991,female,1-4,000*-999*,524
1992,female,1-4,000*-999*,412
1993,female,1-4,000*-999*,415
1994,female,1-4,000*-999*,362
1995,female,1-4,000*-999*,393
1996,female,1-4,000*-999*,328
1997,female,1-4,000*-999*,355
1998,female,1-4,000*-999*,273
1999,female,1-4,000*-999*,302
1925,female,5-9,000*-999*,3121
1926,female,5-9,000*-999*,3710
1927,female,5-9,000*-999*,3874
1928,female,5-9,000*-999*,4184
1929,female,5-9,000*-999*,4618
1930,female,5-9,000*-999*,3941
1931,female,5-9,000*-999*,3806
1932,female,5-9,000*-999*,3649
1933,female,5-9,000*-999*,3508
1934,female,5-9,000*-999*,3354
1935,female,5-9,000*-999*,3036
1936,female,5-9,000*-999*,2867
1937,female,5-9,000*-999*,2779
1938,female,5-9,000*-999*,2698
1939,female,5-9,000*-999*,2296
1940,female,5-9,000*-999*,2972
1941,female,5-9,000*-999*,2448
1942,female,5-9,000*-999*,2286
1943,female,5-9,000*-999*,2472
1944,female,5-9,000*-999*,2914
1945,female,5-9,000*-999*,2334
1946,female,5-9,000*-999*,1688
1947,female,5-9,000*-999*,1250
1948,female,5-9,000*-999*,991
1949,female,5-9,000*-999*,997
1950,female,5-9,000*-999*,708
1951,female,5-9,000*-999*,728
1952,female,5-9,000*-999*,688
1953,female,5-9,000*-999*,736
1954,female,5-9,000*-999*,694
1955,female,5-9,000*-999*,692
1956,female,5-9,000*-999*,702
1957,female,5-9,000*-999*,711
1958,female,5-9,000*-999*,635
1959,female,5-9,000*-999*,739
1960,female,5-9,000*-999*,603
1961,female,5-9,000*-999*,587
1962,female,5-9,000*-999*,605
1963,female,5-9,000*-999*,636
1964,female,5-9,000*-999*,587
1965,female,5-9,000*-999*,569
1966,female,5-9,000*-999*,616
1967,female,5-9,000*-999*,568
1968,female,5-9,000*-999*,607
1969,female,5-9,000*-999*,638
1970,female,5-9,000*-999*,629
1971,female,5-9,000*-999*,633
1972,female,5-9,000*-999*,648
1973,female,5-9,000*-999*,632
1974,female,5-9,000*-999*,575
1975,female,5-9,000*-999*,517
1976,female,5-9,000*-999*,540
1977,female,5-9,000*-999*,522
1978,female,5-9,000*-999*,531
1979,female,5-9,000*-999*,520
1980,female,5-9,000*-999*,476
1981,female,5-9,000*-999*,462
1982,female,5-9,000*-999*,422
1983,female,5-9,000*-999*,391
1984,female,5-9,000*-999*,344
1985,female,5-9,000*-999*,343
1986,female,5-9,000*-999*,340
1987,female,5-9,000*-999*,350
1988,female,5-9,000*-999*,293
1989,female,5-9,000*-999*,304
1990,female,5-9,000*-999*,276
1991,female,5-9,000*-999*,285
1992,female,5-9,000*-999*,274
1993,female,5-9,000*-999*,267
1994,female,5-9,000*-999*,243
1995,female,5-9,000*-999*,223
1996,female,5-9,000*-999*,213
1997,female,5-9,000*-999*,188
1998,female,5-9,000*-999*,213
1999,female,5-9,000*-999*,194
1925,female,10-14,000*-999*,3169
1926,female,10-14,000*-999*,2957
1927,female,10-14,000*-999*,2509
1928,female,10-14,000*-999*,2241
1929,female,10-14,000*-999*,1936
1930,female,10-14,000*-999*,2005
1931,female,10-14,000*-999*,2350
1932,female,10-14,000*-999*,2523
1933,female,10-14,000*-999*,2579
1934,female,10-14,000*-999*,2705
1935,female,10-14,000*-999*,2543
1936,female,10-14,000*-999*,2373
1937,female,10-14,000*-999*,2264
1938,female,10-14,000*-999*,2189
1939,female,10-14,000*-999*,1876
1940,female,10-14,000*-999*,2441
1941,female,10-14,000*-999*,2071
1942,female,10-14,000*-999*,2018
1943,female,10-14,000*-999*,2102
1944,female,10-14,000*-999*,2914
1945,female,10-14,000*-999*,1782
1946,female,10-14,000*-999*,1408
1947,female,10-14,000*-999*,1058
1948,female,10-14,000*-999*,789
1949,female,10-14,000*-999*,871
1950,female,10-14,000*-999*,713
1951,female,10-14,000*-999*,646
1952,female,10-14,000*-999*,505
1953,female,10-14,000*-999*,477
1954,female,10-14,000*-999*,434
1955,female,10-14,000*-999*,388
1956,female,10-14,000*-999*,454
1957,female,10-14,000*-999*,542
1958,female,10-14,000*-999*,500
1959,female,10-14,000*-999*,566
1960,female,10-14,000*-999*,531
1961,female,10-14,000*-999*,536
1962,female,10-14,000*-999*,547
1963,female,10-14,000*-999*,517
1964,female,10-14,000*-999*,500
1965,female,10-14,000*-999*,527
1966,female,10-14,000*-999*,484
1967,female,10-14,000*-999*,534
1968,female,10-14,000*-999*,551
1969,female,10-14,000*-999*,620
1970,female,10-14,000*-999*,530
1971,female,10-14,000*-999*,578
1972,female,10-14,000*-999*,571
1973,female,10-14,000*-999*,541
1974,female,10-14,000*-999*,511
1975,female,10-14,000*-999*,491
1976,female,10-14,000*-999*,492
1977,female,10-14,000*-999*,497
1978,female,10-14,000*-999*,456
1979,female,10-14,000*-999*,448
1980,female,10-14,000*-999*,461
1981,female,10-14,000*-999*,461
1982,female,10-14,000*-999*,448
1983,female,10-14,000*-999*,442
1984,female,10-14,000*-999*,420
1985,female,10-14,000*-999*,374
1986,female,10-14,000*-999*,356
1987,female,10-14,000*-999*,324
1988,female,10-14,000*-999*,318
1989,female,10-14,000*-999*,343
1990,female,10-14,000*-999*,292
1991,female,10-14,000*-999*,303
1992,female,10-14,000*-999*,282
1993,female,10-14,000*-999*,270
1994,female,10-14,000*-999*,298
1995,female,10-14,000*-999*,278
1996,female,10-14,000*-999*,234
1997,female,10-14,000*-999*,247
1998,female,10-14,000*-999*,236
1999,female,10-14,000*-999*,243
1925,female,15-19,000*-999*,7351
1926,female,15-19,000*-999*,7444
1927,female,15-19,000*-999*,6806
1928,female,15-19,000*-999*,6863
1929,female,15-19,000*-999*,6560
1930,female,15-19,000*-999*,5534
1931,female,15-19,000*-999*,5016
1932,female,15-19,000*-999*,4178
1933,female,15-19,000*-999*,3567
1934,female,15-19,000*-999*,2721
1935,female,15-19,000*-999*,2992
1936,female,15-19,000*-999*,3250
1937,female,15-19,000*-999*,3763
1938,female,15-19,000*-999*,3819
1939,female,15-19,000*-999*,3726
1940,female,15-19,000*-999*,4335
1941,female,15-19,000*-999*,3892
1942,female,15-19,000*-999*,3813
1943,female,15-19,000*-999*,3679
1944,female,15-19,000*-999*,4941
1945,female,15-19,000*-999*,3135
1946,female,15-19,000*-999*,2543
