year,age,age_start,age_width,sex,cod,px
1925,<1,0,1,female,Circulatory diseases,0.01275
1925,<1,0,1,female,External,0.00754
1925,<1,0,1,female,Infections,0.15825
1925,<1,0,1,female,Neoplasms,0.00022
1925,<1,0,1,female,Other,0.82123
1925,1-4,1,4,female,Circulatory diseases,0.01629
1925,1-4,1,4,female,External,0.04822
1925,1-4,1,4,female,Infections,0.24047
1925,1-4,1,4,female,Neoplasms,0.00114
1925,1-4,1,4,female,Other,0.69387
1925,5-9,5,5,female,Circulatory diseases,0.04486
1925,5-9,5,5,female,External,0.08267
1925,5-9,5,5,female,Infections,0.29926
1925,5-9,5,5,female,Neoplasms,0.00449
1925,5-9,5,5,female,Other,0.56873
1925,10-14,10,5,female,Circulatory diseases,0.07447
1925,10-14,10,5,female,External,0.05964
1925,10-14,10,5,female,Infections,0.37204
1925,10-14,10,5,female,Neoplasms,0.00694
1925,10-14,10,5,female,Other,0.48690
1925,15-19,15,5,female,Circulatory diseases,0.04802
1925,15-19,15,5,female,External,0.04720
1925,15-19,15,5,female,Infections,0.50578
1925,15-19,15,5,female,Neoplasms,0.00395
1925,15-19,15,5,female,Other,0.39505
1925,20-24,20,5,female,Circulatory diseases,0.04948
1925,20-24,20,5,female,External,0.05227
1925,20-24,20,5,female,Infections,0.50108
1925,20-24,20,5,female,Neoplasms,0.00506
1925,20-24,20,5,female,Other,0.39211
1925,25-29,25,5,female,Circulatory diseases,0.07368
1925,25-29,25,5,female,External,0.06156
1925,25-29,25,5,female,Infections,0.45310
1925,25-29,25,5,female,Neoplasms,0.00963
1925,25-29,25,5,female,Other,0.40203
1925,30-34,30,5,female,Circulatory diseases,0.09857
1925,30-34,30,5,female,External,0.06487
1925,30-34,30,5,female,Infections,0.36796
1925,30-34,30,5,female,Neoplasms,0.03012
1925,30-34,30,5,female,Other,0.43848
1925,35-39,35,5,female,Circulatory diseases,0.11525
1925,35-39,35,5,female,External,0.06590
1925,35-39,35,5,female,Infections,0.30762
1925,35-39,35,5,female,Neoplasms,0.05146
1925,35-39,35,5,female,Other,0.45977
1925,40-44,40,5,female,Circulatory diseases,0.15898
1925,40-44,40,5,female,External,0.07101
1925,40-44,40,5,female,Infections,0.23412
1925,40-44,40,5,female,Neoplasms,0.09315
1925,40-44,40,5,female,Other,0.44274
1925,45-49,45,5,female,Circulatory diseases,0.19438
1925,45-49,45,5,female,External,0.07954
1925,45-49,45,5,female,Infections,0.15726
1925,45-49,45,5,female,Neoplasms,0.11418
1925,45-49,45,5,female,Other,0.45465
1925,50-54,50,5,female,Circulatory diseases,0.24340
1925,50-54,50,5,female,External,0.05678
1925,50-54,50,5,female,Infections,0.10214
1925,50-54,50,5,female,Neoplasms,0.11639
1925,50-54,50,5,female,Other,0.48128
1925,55-59,55,5,female,Circulatory diseases,0.27587
1925,55-59,55,5,female,External,0.04296
1925,55-59,55,5,female,Infections,0.07083
1925,55-59,55,5,female,Neoplasms,0.12103
1925,55-59,55,5,female,Other,0.48932
1925,60-64,60,5,female,Circulatory diseases,0.31160
1925,60-64,60,5,female,External,0.04274
1925,60-64,60,5,female,Infections,0.04675
1925,60-64,60,5,female,Neoplasms,0.10460
1925,60-64,60,5,female,Other,0.49430
1925,65-69,65,5,female,Circulatory diseases,0.34995
1925,65-69,65,5,female,External,0.03234
1925,65-69,65,5,female,Infections,0.02744
1925,65-69,65,5,female,Neoplasms,0.08590
1925,65-69,65,5,female,Other,0.50438
1925,70-74,70,5,female,Circulatory diseases,0.35187
1925,70-74,70,5,female,External,0.02253
1925,70-74,70,5,female,Infections,0.01705
1925,70-74,70,5,female,Neoplasms,0.06085
1925,70-74,70,5,female,Other,0.54770
1925,75-79,75,5,female,Circulatory diseases,0.31758
1925,75-79,75,5,female,External,0.01722
1925,75-79,75,5,female,Infections,0.00946
1925,75-79,75,5,female,Neoplasms,0.03958
1925,75-79,75,5,female,Other,0.61616
1925,80-84,80,5,female,Circulatory diseases,0.26431
1925,80-84,80,5,female,External,0.01102
1925,80-84,80,5,female,Infections,0.00602
1925,80-84,80,5,female,Neoplasms,0.02287
1925,80-84,80,5,female,Other,0.69577
1925,85-89,85,5,female,Circulatory diseases,0.21783
1925,85-89,85,5,female,External,0.01021
1925,85-89,85,5,female,Infections,0.00471
1925,85-89,85,5,female,Neoplasms,0.01369
1925,85-89,85,5,female,Other,0.75356
1925,90-94,90,5,female,Circulatory diseases,0.17075
1925,90-94,90,5,female,External,0.00930
1925,90-94,90,5,female,Infections,0.00294
1925,90-94,90,5,female,Neoplasms,0.00881
1925,90-94,90,5,female,Other,0.80819
1925,95-99,95,5,female,Circulatory diseases,0.13118
1925,95-99,95,5,female,External,0.00605
1925,95-99,95,5,female,Infections,0.00807
1925,95-99,95,5,female,Neoplasms,0.00303
1925,95-99,95,5,female,Other,0.85166
1925,100+,100,5,female,Circulatory diseases,0.16418
1925,100+,100,5,female,External,0.00000
1925,100+,100,5,female,Infections,0.00000
1925,100+,100,5,female,Neoplasms,0.00000
1925,100+,100,5,female,Other,0.83582
1926,<1,0,1,female,Circulatory diseases,0.01308
1926,<1,0,1,female,External,0.00769
1926,<1,0,1,female,Infections,0.19026
1926,<1,0,1,female,Neoplasms,0.00032
1926,<1,0,1,female,Other,0.78865
1926,1-4,1,4,female,Circulatory diseases,0.01770
1926,1-4,1,4,female,External,0.04962
1926,1-4,1,4,female,Infections,0.23738
1926,1-4,1,4,female,Neoplasms,0.00103
1926,1-4,1,4,female,Other,0.69427
1926,5-9,5,5,female,Circulatory diseases,0.04582
1926,5-9,5,5,female,External,0.07143
1926,5-9,5,5,female,Infections,0.32507
1926,5-9,5,5,female,Neoplasms,0.00377
1926,5-9,5,5,female,Other,0.55391
1926,10-14,10,5,female,Circulatory diseases,0.07339
1926,10-14,10,5,female,External,0.05309
1926,10-14,10,5,female,Infections,0.40582
1926,10-14,10,5,female,Neoplasms,0.00676
1926,10-14,10,5,female,Other,0.46094
1926,15-19,15,5,female,Circulatory diseases,0.04715
1926,15-19,15,5,female,External,0.04675
1926,15-19,15,5,female,Infections,0.53735
1926,15-19,15,5,female,Neoplasms,0.00376
1926,15-19,15,5,female,Other,0.36499
1926,20-24,20,5,female,Circulatory diseases,0.05567
1926,20-24,20,5,female,External,0.05345
1926,20-24,20,5,female,Infections,0.52485
1926,20-24,20,5,female,Neoplasms,0.00576
1926,20-24,20,5,female,Other,0.36027
1926,25-29,25,5,female,Circulatory diseases,0.07705
1926,25-29,25,5,female,External,0.05579
1926,25-29,25,5,female,Infections,0.46906
1926,25-29,25,5,female,Neoplasms,0.01176
1926,25-29,25,5,female,Other,0.38634
1926,30-34,30,5,female,Circulatory diseases,0.10074
1926,30-34,30,5,female,External,0.05986
1926,30-34,30,5,female,Infections,0.39398
1926,30-34,30,5,female,Neoplasms,0.03324
1926,30-34,30,5,female,Other,0.41217
1926,35-39,35,5,female,Circulatory diseases,0.12074
1926,35-39,35,5,female,External,0.05829
1926,35-39,35,5,female,Infections,0.32124
1926,35-39,35,5,female,Neoplasms,0.05851
1926,35-39,35,5,female,Other,0.44122
1926,40-44,40,5,female,Circulatory diseases,0.16585
1926,40-44,40,5,female,External,0.06664
1926,40-44,40,5,female,Infections,0.23769
1926,40-44,40,5,female,Neoplasms,0.09608
1926,40-44,40,5,female,Other,0.43374
1926,45-49,45,5,female,Circulatory diseases,0.20165
1926,45-49,45,5,female,External,0.06651
1926,45-49,45,5,female,Infections,0.16212
1926,45-49,45,5,female,Neoplasms,0.13481
1926,45-49,45,5,female,Other,0.43492
1926,50-54,50,5,female,Circulatory diseases,0.24888
1926,50-54,50,5,female,External,0.05084
1926,50-54,50,5,female,Infections,0.10860
1926,50-54,50,5,female,Neoplasms,0.13389
1926,50-54,50,5,female,Other,0.45780
1926,55-59,55,5,female,Circulatory diseases,0.28469
1926,55-59,55,5,female,External,0.04318
1926,55-59,55,5,female,Infections,0.07451
