year,age,age_start,age_width,sex,cod,px
1925,<1,0,1,female,External,0.00754
1925,<1,0,1,female,Neoplasms,0.00022
1925,<1,0,1,female,Other,0.99224
1925,1-4,1,4,female,External,0.04822
1925,1-4,1,4,female,Neoplasms,0.00114
1925,1-4,1,4,female,Other,0.95064
1925,5-9,5,5,female,External,0.08267
1925,5-9,5,5,female,Neoplasms,0.00449
1925,5-9,5,5,female,Other,0.91285
1925,10-14,10,5,female,External,0.05964
1925,10-14,10,5,female,Neoplasms,0.00694
1925,10-14,10,5,female,Other,0.93342
1925,15-19,15,5,female,External,0.04720
1925,15-19,15,5,female,Neoplasms,0.00395
1925,15-19,15,5,female,Other,0.94885
1925,20-24,20,5,female,External,0.05227
1925,20-24,20,5,female,Neoplasms,0.00506
1925,20-24,20,5,female,Other,0.94267
1925,25-29,25,5,female,External,0.06156
1925,25-29,25,5,female,Neoplasms,0.00963
1925,25-29,25,5,female,Other,0.92881
1925,30-34,30,5,female,External,0.06487
1925,30-34,30,5,female,Neoplasms,0.03012
1925,30-34,30,5,female,Other,0.90501
1925,35-39,35,5,female,External,0.06590
1925,35-39,35,5,female,Neoplasms,0.05146
1925,35-39,35,5,female,Other,0.88264
1925,40-44,40,5,female,External,0.07101
1925,40-44,40,5,female,Neoplasms,0.09315
1925,40-44,40,5,female,Other,0.83584
1925,45-49,45,5,female,External,0.07954
1925,45-49,45,5,female,Neoplasms,0.11418
1925,45-49,45,5,female,Other,0.80628
1925,50-54,50,5,female,External,0.05678
1925,50-54,50,5,female,Neoplasms,0.11639
1925,50-54,50,5,female,Other,0.82683
1925,55-59,55,5,female,External,0.04296
1925,55-59,55,5,female,Neoplasms,0.12103
1925,55-59,55,5,female,Other,0.83602
1925,60-64,60,5,female,External,0.04274
1925,60-64,60,5,female,Neoplasms,0.10460
1925,60-64,60,5,female,Other,0.85265
1925,65-69,65,5,female,External,0.03234
1925,65-69,65,5,female,Neoplasms,0.08590
1925,65-69,65,5,female,Other,0.88176
1925,70-74,70,5,female,External,0.02253
1925,70-74,70,5,female,Neoplasms,0.06085
1925,70-74,70,5,female,Other,0.91662
1925,75-79,75,5,female,External,0.01722
1925,75-79,75,5,female,Neoplasms,0.03958
1925,75-79,75,5,female,Other,0.94320
1925,80-84,80,5,female,External,0.01102
1925,80-84,80,5,female,Neoplasms,0.02287
1925,80-84,80,5,female,Other,0.96611
1925,85-89,85,5,female,External,0.01021
1925,85-89,85,5,female,Neoplasms,0.01369
1925,85-89,85,5,female,Other,0.97609
1925,90-94,90,5,female,External,0.00930
1925,90-94,90,5,female,Neoplasms,0.00881
1925,90-94,90,5,female,Other,0.98188
1925,95-99,95,5,female,External,0.00605
1925,95-99,95,5,female,Neoplasms,0.00303
1925,95-99,95,5,female,Other,0.99092
1925,100+,100,5,female,External,0.00000
1925,100+,100,5,female,Neoplasms,0.00000
1925,100+,100,5,female,Other,1.00000
1926,<1,0,1,female,External,0.00769
1926,<1,0,1,female,Neoplasms,0.00032
1926,<1,0,1,female,Other,0.99199
1926,1-4,1,4,female,External,0.04962
1926,1-4,1,4,female,Neoplasms,0.00103
1926,1-4,1,4,female,Other,0.94935
1926,5-9,5,5,female,External,0.07143
1926,5-9,5,5,female,Neoplasms,0.00377
1926,5-9,5,5,female,Other,0.92480
1926,10-14,10,5,female,External,0.05309
1926,10-14,10,5,female,Neoplasms,0.00676
1926,10-14,10,5,female,Other,0.94014
1926,15-19,15,5,female,External,0.04675
1926,15-19,15,5,female,Neoplasms,0.00376
1926,15-19,15,5,female,Other,0.94949
1926,20-24,20,5,female,External,0.05345
1926,20-24,20,5,female,Neoplasms,0.00576
1926,20-24,20,5,female,Other,0.94080
1926,25-29,25,5,female,External,0.05579
1926,25-29,25,5,female,Neoplasms,0.01176
1926,25-29,25,5,female,Other,0.93246
1926,30-34,30,5,female,External,0.05986
1926,30-34,30,5,female,Neoplasms,0.03324
1926,30-34,30,5,female,Other,0.90690
1926,35-39,35,5,female,External,0.05829
1926,35-39,35,5,female,Neoplasms,0.05851
1926,35-39,35,5,female,Other,0.88320
1926,40-44,40,5,female,External,0.06664
1926,40-44,40,5,female,Neoplasms,0.09608
1926,40-44,40,5,female,Other,0.83728
1926,45-49,45,5,female,External,0.06651
1926,45-49,45,5,female,Neoplasms,0.13481
1926,45-49,45,5,female,Other,0.79868
1926,50-54,50,5,female,External,0.05084
1926,50-54,50,5,female,Neoplasms,0.13389
1926,50-54,50,5,female,Other,0.81528
1926,55-59,55,5,female,External,0.04318
1926,55-59,55,5,female,Neoplasms,0.13407
1926,55-59,55,5,female,Other,0.82275
1926,60-64,60,5,female,External,0.03857
1926,60-64,60,5,female,Neoplasms,0.12036
1926,60-64,60,5,female,Other,0.84107
1926,65-69,65,5,female,External,0.02870
1926,65-69,65,5,female,Neoplasms,0.09860
1926,65-69,65,5,female,Other,0.87270
1926,70-74,70,5,female,External,0.02049
1926,70-74,70,5,female,Neoplasms,0.07053
1926,70-74,70,5,female,Other,0.90898
1926,75-79,75,5,female,External,0.01675
1926,75-79,75,5,female,Neoplasms,0.04513
1926,75-79,75,5,female,Other,0.93812
1926,80-84,80,5,female,External,0.01156
1926,80-84,80,5,female,Neoplasms,0.02629
1926,80-84,80,5,female,Other,0.96216
1926,85-89,85,5,female,External,0.00999
1926,85-89,85,5,female,Neoplasms,0.01702
1926,85-89,85,5,female,Other,0.97299
1926,90-94,90,5,female,External,0.00836
1926,90-94,90,5,female,Neoplasms,0.00976
1926,90-94,90,5,female,Other,0.98188
1926,95-99,95,5,female,External,0.00679
1926,95-99,95,5,female,Neoplasms,0.00905
1926,95-99,95,5,female,Other,0.98416
1926,100+,100,5,female,External,0.00000
1926,100+,100,5,female,Neoplasms,0.02667
1926,100+,100,5,female,Other,0.97333
1927,<1,0,1,female,External,0.00854
1927,<1,0,1,female,Neoplasms,0.00042
1927,<1,0,1,female,Other,0.99105
1927,1-4,1,4,female,External,0.05478
1927,1-4,1,4,female,Neoplasms,0.00143
1927,1-4,1,4,female,Other,0.94379
1927,5-9,5,5,female,External,0.06247
1927,5-9,5,5,female,Neoplasms,0.00413
1927,5-9,5,5,female,Other,0.93340
1927,10-14,10,5,female,External,0.04783
1927,10-14,10,5,female,Neoplasms,0.00678
1927,10-14,10,5,female,Other,0.94540
1927,15-19,15,5,female,External,0.04261
1927,15-19,15,5,female,Neoplasms,0.00485
1927,15-19,15,5,female,Other,0.95254
1927,20-24,20,5,female,External,0.04499
