Country,Timeframe,Sex,Year,Age,mx
GBRTENW,Period,Female,1841,0,0.13607
GBRTENW,Period,Female,1841,1,0.05958
GBRTENW,Period,Female,1841,2,0.03641
GBRTENW,Period,Female,1841,3,0.02491
GBRTENW,Period,Female,1841,4,0.01846
GBRTENW,Period,Female,1841,5,0.01397
GBRTENW,Period,Female,1841,6,0.01087
GBRTENW,Period,Female,1841,7,0.00859
GBRTENW,Period,Female,1841,8,0.00686
GBRTENW,Period,Female,1841,9,0.00577
GBRTENW,Period,Female,1841,10,0.00530
GBRTENW,Period,Female,1841,11,0.00511
GBRTENW,Period,Female,1841,12,0.00515
GBRTENW,Period,Female,1841,13,0.00545
GBRTENW,Period,Female,1841,14,0.00601
GBRTENW,Period,Female,1841,15,0.00673
GBRTENW,Period,Female,1841,16,0.00746
GBRTENW,Period,Female,1841,17,0.00814
GBRTENW,Period,Female,1841,18,0.00868
GBRTENW,Period,Female,1841,19,0.00889
GBRTENW,Period,Female,1841,20,0.00874
GBRTENW,Period,Female,1841,21,0.00873
GBRTENW,Period,Female,1841,22,0.00893
GBRTENW,Period,Female,1841,23,0.00908
GBRTENW,Period,Female,1841,24,0.00933
GBRTENW,Period,Female,1841,25,0.00974
GBRTENW,Period,Female,1841,26,0.01002
GBRTENW,Period,Female,1841,27,0.01007
GBRTENW,Period,Female,1841,28,0.01008
GBRTENW,Period,Female,1841,29,0.01006
GBRTENW,Period,Female,1841,30,0.01003
GBRTENW,Period,Female,1841,31,0.01005
GBRTENW,Period,Female,1841,32,0.01013
GBRTENW,Period,Female,1841,33,0.01029
GBRTENW,Period,Female,1841,34,0.01079
GBRTENW,Period,Female,1841,35,0.01178
GBRTENW,Period,Female,1841,36,0.01254
GBRTENW,Period,Female,1841,37,0.01279
GBRTENW,Period,Female,1841,38,0.01294
GBRTENW,Period,Female,1841,39,0.01267
GBRTENW,Period,Female,1841,40,0.01199
GBRTENW,Period,Female,1841,41,0.01166
GBRTENW,Period,Female,1841,42,0.01178
GBRTENW,Period,Female,1841,43,0.01201
GBRTENW,Period,Female,1841,44,0.01267
GBRTENW,Period,Female,1841,45,0.01395
GBRTENW,Period,Female,1841,46,0.01507
GBRTENW,Period,Female,1841,47,0.01553
GBRTENW,Period,Female,1841,48,0.01582
GBRTENW,Period,Female,1841,49,0.01566
GBRTENW,Period,Female,1841,50,0.01500
GBRTENW,Period,Female,1841,51,0.01481
GBRTENW,Period,Female,1841,52,0.01529
GBRTENW,Period,Female,1841,53,0.01601
GBRTENW,Period,Female,1841,54,0.01782
GBRTENW,Period,Female,1841,55,0.02176
GBRTENW,Period,Female,1841,56,0.02552
GBRTENW,Period,Female,1841,57,0.02717
GBRTENW,Period,Female,1841,58,0.02866
GBRTENW,Period,Female,1841,59,0.02838
GBRTENW,Period,Female,1841,60,0.02611
GBRTENW,Period,Female,1841,61,0.02570
GBRTENW,Period,Female,1841,62,0.02738
GBRTENW,Period,Female,1841,63,0.02937
GBRTENW,Period,Female,1841,64,0.03327
GBRTENW,Period,Female,1841,65,0.04104
GBRTENW,Period,Female,1841,66,0.04849
GBRTENW,Period,Female,1841,67,0.05225
GBRTENW,Period,Female,1841,68,0.05604
GBRTENW,Period,Female,1841,69,0.05843
GBRTENW,Period,Female,1841,70,0.05867
GBRTENW,Period,Female,1841,71,0.06066
GBRTENW,Period,Female,1841,72,0.06527
GBRTENW,Period,Female,1841,73,0.07031
GBRTENW,Period,Female,1841,74,0.07880
GBRTENW,Period,Female,1841,75,0.09445
GBRTENW,Period,Female,1841,76,0.10935
GBRTENW,Period,Female,1841,77,0.11814
GBRTENW,Period,Female,1841,78,0.12804
GBRTENW,Period,Female,1841,79,0.12584
GBRTENW,Period,Female,1841,80,0.12342
GBRTENW,Period,Female,1841,81,0.13487
GBRTENW,Period,Female,1841,82,0.14799
GBRTENW,Period,Female,1841,83,0.16091
GBRTENW,Period,Female,1841,84,0.17464
GBRTENW,Period,Female,1841,85,0.18414
GBRTENW,Period,Female,1841,86,0.19838
GBRTENW,Period,Female,1841,87,0.21327
GBRTENW,Period,Female,1841,88,0.22877
GBRTENW,Period,Female,1841,89,0.24487
GBRTENW,Period,Female,1841,90,0.26147
GBRTENW,Period,Female,1841,91,0.27855
GBRTENW,Period,Female,1841,92,0.29598
GBRTENW,Period,Female,1841,93,0.31360
GBRTENW,Period,Female,1841,94,0.33145
GBRTENW,Period,Female,1841,95,0.34935
GBRTENW,Period,Female,1841,96,0.36716
GBRTENW,Period,Female,1841,97,0.38479
GBRTENW,Period,Female,1841,98,0.40261
GBRTENW,Period,Female,1841,99,0.42050
GBRTENW,Period,Female,1841,100,0.43902
GBRTENW,Period,Female,1841,101,0.45832
GBRTENW,Period,Female,1841,102,0.47539
GBRTENW,Period,Female,1841,103,0.49913
GBRTENW,Period,Female,1841,104,0.53737
GBRTENW,Period,Female,1841,105,0.57697
GBRTENW,Period,Female,1841,106,0.67771
GBRTENW,Period,Female,1841,107,0.90000
GBRTENW,Period,Female,1841,108,1.38843
GBRTENW,Period,Female,1841,109,"NA"
GBRTENW,Period,Female,1841,110,"NA"
