year,sex,age,mx,age_start,age_width
1925,female,<1,0.08755,0,1
1926,female,<1,0.09497,0,1
1927,female,<1,0.08225,0,1
1928,female,<1,0.09078,0,1
1929,female,<1,0.09331,0,1
1930,female,<1,0.07807,0,1
1931,female,<1,0.07240,0,1
1932,female,<1,0.07432,0,1
1933,female,<1,0.07151,0,1
1934,female,<1,0.06754,0,1
1935,female,<1,0.06443,0,1
1936,female,<1,0.06438,0,1
1937,female,<1,0.06353,0,1
1938,female,<1,0.06406,0,1
1939,female,<1,0.06193,0,1
1940,female,<1,0.08498,0,1
1941,female,<1,0.07036,0,1
1942,female,<1,0.07273,0,1
1943,female,<1,0.07617,0,1
1944,female,<1,0.07620,0,1
1945,female,<1,0.10911,0,1
1946,female,<1,0.07511,0,1
1947,female,<1,0.06593,0,1
1948,female,<1,0.05025,0,1
1949,female,<1,0.05480,0,1
1950,female,<1,0.04637,0,1
1951,female,<1,0.04484,0,1
1952,female,<1,0.04093,0,1
1953,female,<1,0.03663,0,1
1954,female,<1,0.03638,0,1
1955,female,<1,0.03419,0,1
1956,female,<1,0.03187,0,1
1957,female,<1,0.03008,0,1
1958,female,<1,0.02781,0,1
1959,female,<1,0.02626,0,1
1960,female,<1,0.02395,0,1
1961,female,<1,0.02288,0,1
1962,female,<1,0.02207,0,1
1963,female,<1,0.02265,0,1
1964,female,<1,0.02040,0,1
1965,female,<1,0.01929,0,1
1966,female,<1,0.01884,0,1
1967,female,<1,0.01792,0,1
1968,female,<1,0.01810,0,1
1969,female,<1,0.01731,0,1
1970,female,<1,0.01607,0,1
1971,female,<1,0.01531,0,1
1972,female,<1,0.01416,0,1
1973,female,<1,0.01359,0,1
1974,female,<1,0.01246,0,1
1975,female,<1,0.01192,0,1
1976,female,<1,0.01088,0,1
1977,female,<1,0.01013,0,1
1978,female,<1,0.00946,0,1
1979,female,<1,0.00908,0,1
1980,female,<1,0.00888,0,1
1981,female,<1,0.00841,0,1
1982,female,<1,0.00828,0,1
1983,female,<1,0.00779,0,1
1984,female,<1,0.00750,0,1
1985,female,<1,0.00724,0,1
1986,female,<1,0.00716,0,1
1987,female,<1,0.00660,0,1
1988,female,<1,0.00681,0,1
1989,female,<1,0.00649,0,1
1990,female,<1,0.00632,0,1
1991,female,<1,0.00622,0,1
1992,female,<1,0.00573,0,1
1993,female,<1,0.00537,0,1
1994,female,<1,0.00512,0,1
1995,female,<1,0.00447,0,1
1996,female,<1,0.00422,0,1
1997,female,<1,0.00418,0,1
1998,female,<1,0.00422,0,1
1999,female,<1,0.00387,0,1
1925,male,<1,0.11361,0,1
1926,male,<1,0.12101,0,1
1927,male,<1,0.10401,0,1
1928,male,<1,0.11537,0,1
1929,male,<1,0.11892,0,1
1930,male,<1,0.09882,0,1
1931,male,<1,0.09419,0,1
1932,male,<1,0.09748,0,1
1933,male,<1,0.09194,0,1
1934,male,<1,0.08944,0,1
1935,male,<1,0.08543,0,1
1936,male,<1,0.08515,0,1
1937,male,<1,0.08289,0,1
1938,male,<1,0.08357,0,1
1939,male,<1,0.08131,0,1
1940,male,<1,0.11006,0,1
1941,male,<1,0.08941,0,1
1942,male,<1,0.09302,0,1
1943,male,<1,0.09821,0,1
1944,male,<1,0.09978,0,1
1945,male,<1,0.13626,0,1
1946,male,<1,0.09636,0,1
1947,male,<1,0.08470,0,1
1948,male,<1,0.06656,0,1
1949,male,<1,0.07061,0,1
1950,male,<1,0.06096,0,1
1951,male,<1,0.05824,0,1
1952,male,<1,0.05227,0,1
1953,male,<1,0.04890,0,1
1954,male,<1,0.04778,0,1
1955,male,<1,0.04473,0,1
1956,male,<1,0.04204,0,1
1957,male,<1,0.03889,0,1
1958,male,<1,0.03605,0,1
1959,male,<1,0.03426,0,1
1960,male,<1,0.03158,0,1
1961,male,<1,0.02985,0,1
1962,male,<1,0.02983,0,1
1963,male,<1,0.02978,0,1
1964,male,<1,0.02701,0,1
1965,male,<1,0.02485,0,1
1966,male,<1,0.02533,0,1
1967,male,<1,0.02352,0,1
1968,male,<1,0.02322,0,1
1969,male,<1,0.02261,0,1
1970,male,<1,0.02090,0,1
1971,male,<1,0.02003,0,1
1972,male,<1,0.01832,0,1
1973,male,<1,0.01744,0,1
1974,male,<1,0.01646,0,1
1975,male,<1,0.01536,0,1
1976,male,<1,0.01448,0,1
1977,male,<1,0.01377,0,1
1978,male,<1,0.01232,0,1
1979,male,<1,0.01176,0,1
1980,male,<1,0.01219,0,1
1981,male,<1,0.01157,0,1
1982,male,<1,0.01097,0,1
1983,male,<1,0.01021,0,1
1984,male,<1,0.00951,0,1
1985,male,<1,0.00975,0,1
1986,male,<1,0.00928,0,1
1987,male,<1,0.00921,0,1
1988,male,<1,0.00914,0,1
1989,male,<1,0.00876,0,1
1990,male,<1,0.00854,0,1
1991,male,<1,0.00845,0,1
1992,male,<1,0.00796,0,1
1993,male,<1,0.00747,0,1
1994,male,<1,0.00684,0,1
1995,male,<1,0.00554,0,1
1996,male,<1,0.00549,0,1
1997,male,<1,0.00537,0,1
1998,male,<1,0.00517,0,1
1999,male,<1,0.00494,0,1
1925,total,<1,0.10074,0,1
1926,total,<1,0.10815,0,1
1927,total,<1,0.09329,0,1
1928,total,<1,0.10327,0,1
1929,total,<1,0.10631,0,1
1930,total,<1,0.08857,0,1
1931,total,<1,0.08343,0,1
1932,total,<1,0.08606,0,1
1933,total,<1,0.08186,0,1
1934,total,<1,0.07863,0,1
1935,total,<1,0.07503,0,1
1936,total,<1,0.07486,0,1
1937,total,<1,0.07333,0,1
1938,total,<1,0.07395,0,1
1939,total,<1,0.07174,0,1
1940,total,<1,0.09774,0,1
1941,total,<1,0.08007,0,1
1942,total,<1,0.08305,0,1
1943,total,<1,0.08741,0,1
1944,total,<1,0.08824,0,1
1945,total,<1,0.12295,0,1
1946,total,<1,0.08595,0,1
1947,total,<1,0.07551,0,1
1948,total,<1,0.05858,0,1
1949,total,<1,0.06287,0,1
1950,total,<1,0.05381,0,1
1951,total,<1,0.05167,0,1
1952,total,<1,0.04672,0,1
1953,total,<1,0.04289,0,1
1954,total,<1,0.04220,0,1
1955,total,<1,0.03957,0,1
